Title,Author,Author Birth Year,Languuage,LCC (General),LCC (Full)
"La Bella Cubano
Habenera",UNKNOWN AUTHOR,UNKNOWN YEAR,es,M,M
"Que Partes El Alma
Rumba Son",UNKNOWN AUTHOR,UNKNOWN YEAR,es,M,M
"Envoyons d'l'avant nos gens!
Folklore du Canada",UNKNOWN AUTHOR,UNKNOWN YEAR,fr,M,M
Skamba Kankliah Ir Trimintai,UNKNOWN AUTHOR,UNKNOWN YEAR,lt,M,M
Anssin Jukka ja Härmän Häät,UNKNOWN AUTHOR,UNKNOWN YEAR,fi,M,M
"The Glands Regulating Personality
A Study of the Glands of Internal Secretion in Relation to the Types of Human Nature","Berman, Louis",1893,en,Q,QP
"The Outdoor Chums; Or, The First Tour of the Rod, Gun and Camera Club","Allen, Quincy",UNKNOWN YEAR,en,P,PZ
Patty at Home,"Wells, Carolyn",1862,en,P,PZ
Pharoah's Army Got Drownded,"""Colored Quartet"" (name unknown)",UNKNOWN YEAR,en,M,M
The Lone Star Ranger: A Romance of the Border,"Grey, Zane",1872,en,P,PS
What Band Is This?,Hann's Emperors of Song,UNKNOWN YEAR,en,M,M
"Höchstes Vertrauen
(aus Lohengrin)",UNKNOWN AUTHOR,UNKNOWN YEAR,de,M,M
"Sono Un Poeta
From La Bohème",UNKNOWN AUTHOR,UNKNOWN YEAR,it,M,M
Ah! Fors' é Lui (La Traviata),UNKNOWN AUTHOR,UNKNOWN YEAR,it,M,M
Sermons on Evil-Speaking,"Barrow, Isaac",1630,en,B,BJ
La Gioconda,UNKNOWN AUTHOR,UNKNOWN YEAR,it,M,M
"Gloria
From The Twelfth Mass by Wolfgang Amadeus Mozart",UNKNOWN AUTHOR,UNKNOWN YEAR,la,M,M
"Hallelujah Chorus
From The Messiah",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Sei Forse L'Angelo Fedele
From Eugene Onegin",UNKNOWN AUTHOR,UNKNOWN YEAR,it,M,M
Uncle Tom's Cabin: Entrance of Topsy,"Spencer, Len",1867,en,P,PS
The Professor,"Brontë, Charlotte",1816,en,P,PR
In de Mornin' and Jes Gib Him One Ob Mine,"Dunbar, Paul Laurence",1872,en,P,PS
"Antony's Address over the Body of Caesar
From Julius Caesar","Shakespeare, William",1564,en,P,PR
Polish National Dance,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Dinah Polka,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Spring of Love,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Ma Rag Time Baby,Peerless Orchestra (Edison studio ensemble),UNKNOWN YEAR,en,M,M
Arbucklenian Polka,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
New York Blues,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Ragtime Echoes,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Le Chat du Neptune,"Hervilly, Ernest d'",1839,fr,P,PQ
The Night-Born,"London, Jack",1876,en,P,PS
"Confession de Minuit
Roman","Duhamel, Georges",1884,fr,P,PQ
In the Fourth Year: Anticipations of a World Peace,"Wells, H. G. (Herbert George)",1866,en,D,D501
"Punchinello, Volume 2, No. 36, December 3, 1870",Various,UNKNOWN YEAR,en,A,AP
"Relación historica de los sucesos de la rebelión de José Gabriel Tupac-Amaru en las provincias del Peru, el año de 1780",Anonymous,UNKNOWN YEAR,es,F,F3401
"Verse and Prose for Beginners in Reading
Selected from English and American Literature",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PE
The Band of Gideon,Jubilee Singers,UNKNOWN YEAR,en,M,M
"Swing Low, Sweet Chariot",Jubilee Singers,UNKNOWN YEAR,en,M,M
Saxema,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Flow Gently Sweet Afton and Bonnie, Sweet Bessie",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Poet and Peasant Overture,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Around the World in Eighty Days,"Verne, Jules",1828,en,P,PQ
The Cavalier Songs and Ballads of England from 1642 to 1684,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
"Snyder, Does Your Mother Know You're Out?",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Who Threw the Overalls in Mrs. Murphy's Chowder?,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Just Because She Made Dem Goo-Goo Eyes,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Jere Sanford's Yodling and Whistling Specialty,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Some of These Days
From Honky Tonk","Tucker, Sophie",1884,en,M,M
Alexander's Ragtime Band,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Moonlight Bay,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
At the Moving Picture Ball,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Handel Festival
Israel in Egypt (excerpt)",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
The Lost Chord,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Charmides, and Other Poems","Wilde, Oscar",1854,en,P,PR
After Dinner Toast at Little Menlo,"Sullivan, Arthur",1842,en,P,PR
Around the World on the Phonograph,"Edison, Thomas A. (Thomas Alva)",1847,en,P,PS
The Pattison Waltz,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
The Fifth Regiment March,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
The Sonnets of Michael Angelo Buonarroti and Tommaso Campanella; Now for the First Time Translated into Rhymed English,Michelangelo Buonarroti,1475,en,P,PQ
"The Persian Literature, Comprising The Shah Nameh, The Rubaiyat, The Divan, and The Gulistan, Volume 1","Hāfiz, 14th cent.",1048,en,P,PJ
Roy Blakeley's Adventures in Camp,"Fitzhugh, Percy Keese",1876,en,P,PZ
"Betty Gordon at Boarding School; Or, The Treasure of Indian Chasm","Emerson, Alice B.",UNKNOWN YEAR,en,P,PZ
Damon and Delia: A Tale,"Godwin, William",1756,en,P,PR
"Dave Darrin's Third Year at Annapolis; Or, Leaders of the Second Class Midshipmen","Hancock, H. Irving (Harrie Irving)",1868,en,P,PZ
The Pupil,"James, Henry",1843,en,P,PS
Dotty Dimple at Play,"May, Sophie",1833,en,P,PZ
Dragon's blood,"Rideout, Henry Milner",1877,en,P,PS
Miss Prudence: A Story of Two Girls' Lives.,"Conklin, Nathaniel, Mrs.",1841,en,P,PS
"The Rover Boys at College; Or, The Right Road and the Wrong","Stratemeyer, Edward",1862,en,P,PZ
Bull Hunter,"Brand, Max",1892,en,P,PS
The Gospel of the Pentateuch: A Set of Parish Sermons,"Kingsley, Charles",1819,en,B,BX
David: Five Sermons,"Kingsley, Charles",1819,en,B,BS
Alias the Lone Wolf,"Vance, Louis Joseph",1879,en,P,PS
Poems,"Cassels, Walter Richard",1826,en,P,PR
Snubby Nose and Tippy Toes,"Smith, Laura Rountree",1876,en,P,PZ
Rose o' the River,"Wiggin, Kate Douglas Smith",1856,en,P,PS
Fruitfulness,"Zola, Émile",1840,en,P,PQ
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 324, July 26, 1828",Various,UNKNOWN YEAR,en,A,AP
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 325, August 2, 1828",Various,UNKNOWN YEAR,en,A,AP
The European Anarchy,"Dickinson, G. Lowes (Goldsworthy Lowes)",1862,en,D,D501
Van 't  viooltje dat weten wilde,"Metz-Koning, Maria Catherina",1864,nl,P,PT
Children's Rights: A Book of Nursery Logic,"Wiggin, Kate Douglas Smith",1856,en,H,HQ
"A Select Collection of Old English Plays, Volume 07",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
Lady into Fox,"Garnett, David",1892,en,P,PR
With the Turks in Palestine,"Aaronsohn, Alexander",1888,en,D,D501
An Antarctic Mystery,"Verne, Jules",1828,en,P,PQ
Poems,"Owen, Wilfred",1893,en,P,PR
Dab Kinzer: A Story of a Growing Boy,"Stoddard, William Osborn",1835,en,P,PZ
"The Great Events by Famous Historians, Volume 21
The Recent Days (1910-1914)",UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,D
The Velvet Glove,"Merriman, Henry Seton",1862,en,P,PR
"The Works of Charles and Mary Lamb — Volume 2
Elia and The Last Essays of Elia","Lamb, Charles",1775,en,P,PR
Autumn Anthem,"Erickson, Joel A.",UNKNOWN YEAR,en,M,M
Domestic Manners of the Americans,"Trollope, Frances Milton",1780,en,E,E151
C'Était ainsi...,"Buysse, Cyriël",1859,fr,P,PT
Free from School,"Alvares, Rahul",UNKNOWN YEAR,en,Q,QH
Go to Sea Once More,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Naar het middelpunt der Aarde,"Verne, Jules",1828,nl,P,PQ
The Man Against the Sky: A Book of Poems,"Robinson, Edwin Arlington",1869,en,P,PS
"The Works of Samuel Johnson, LL.D. in Eleven Volumes, Volume 06
Reviews, Political Tracts, and Lives of Eminent Persons","Johnson, Samuel",1709,en,P,PR
"The Works of Samuel Johnson, LL.D. Volume 10
Parlimentary Debates I","Johnson, Samuel",1709,en,D,DA
"The Works of Samuel Johnson, LL.D. Volume 11.
Parlimentary Debates II.","Johnson, Samuel",1709,en,D,DA
Satyros oder Der vergötterte Waldteufel,"Goethe, Johann Wolfgang von",1749,de,P,PT
"Die Laune des Verliebten
Ein Schäferspiel in Versen und einem Akt","Goethe, Johann Wolfgang von",1749,de,P,PT
"Travels in Morocco, Volume 1.","Richardson, James",1806,en,D,DT
"Travels in Morocco, Volume 2.","Richardson, James",1806,en,D,DT
"Life of Johnson, Volume 4
1780-1784","Boswell, James",1740,en,P,PR
The Boss of Little Arcady,"Wilson, Harry Leon",1867,en,P,PS
Aunt Jane's Nieces at Millville,"Baum, L. Frank (Lyman Frank)",1856,en,P,PZ
Joe Wilson and His Mates,"Lawson, Henry",1867,en,P,PR
Kitty's Class Day and Other Stories,"Alcott, Louisa May",1832,en,P,PS
The Creative Process in the Individual,"Troward, T. (Thomas)",1847,en,B,BF
Sketches of the East Africa Campaign,"Dolbey, Robert Valentine",1878,en,D,D501
The Bravo: A Tale,"Cooper, James Fenimore",1789,en,P,PS
Yeast: a Problem,"Kingsley, Charles",1819,en,P,PR
Precaution: A Novel,"Cooper, James Fenimore",1789,en,P,PS
"Freedom's Battle
Being a Comprehensive Collection of Writings and Speeches on the Present Situation","Gandhi, Mahatma",1869,en,D,DS
Poems,"Carr, John, Sir",1772,en,P,PR
The Vizier of the Two-Horned Alexander,"Stockton, Frank Richard",1834,en,P,PS
"Memoir and Diary of John Yeardley, Minister of the Gospel","Yeardley, John",1786,en,B,BX
The Life of John Bunyan,"Venables, Edmund",1819,en,P,PR
Sustained honor: The Age of Liberty Established,"Musick, John R. (John Roy)",1849,en,P,PS
The Cinema Murder,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,P,PR
Bunch Grass: A Chronicle of Life on a Cattle Ranch,"Vachell, Horace Annesley",1861,en,P,PR
The Middle Temple Murder,"Fletcher, J. S. (Joseph Smith)",1863,en,P,PR
The Ramblin' Kid,"Bowman, Earl Wayland",1875,en,P,PS
England's Antiphon,"MacDonald, George",1824,en,P,PR
American Indian Stories,Zitkala-Sa,1876,en,E,E011
The Evil Guest,"Le Fanu, Joseph Sheridan",1814,en,P,PR
Autobiography,"Mill, John Stuart",1806,en,B,B
At Love's Cost,"Garvice, Charles",1850,en,P,PR
Style,"Raleigh, Walter Alexander, Sir",1861,en,P,PN
Bible Stories and Religious Classics,"Wells, Philip P. (Philip Patterson)",1868,en,P,PZ
"The History of a Crime
The Testimony of an Eye-Witness","Hugo, Victor",1802,en,D,DC
"Memoir of William Watts McNair, Late of ""Connaught house,"" Mussooree, of the Indian Survey Department, the First European Explorer of Kafiristan","Howard, J. E.",UNKNOWN YEAR,en,D,DS
"The Maternal Management of Children, in Health and Disease","Bull, Thomas",UNKNOWN YEAR,en,R,RJ
Le Pays de l'or,"Conscience, Hendrik",1812,fr,P,PT
"Histoire de la Révolution française, Tome 3","Thiers, Adolphe",1797,fr,D,DC
"Thoughts on the Necessity of Improving the Condition of the Slaves in the British Colonies
With a View to Their Ultimate Emancipation; and on the Practicability, the Safety, and the Advantages of the Latter Measure.","Clarkson, Thomas",1760,en,H,HT
A Century Too Soon: The Age of Tyranny,"Musick, John R. (John Roy)",1849,en,P,PS
"A Collection of Old English Plays, Volume 1",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
"Northern Trails, Book I.","Long, William J. (William Joseph)",1867,en,Q,QL
Missionary Travels and Researches in South Africa,"Livingstone, David",1813,en,D,DT
The Edinburgh Lectures on Mental Science,"Troward, T. (Thomas)",1847,en,B,BF
The Wolf's Long Howl,"Waterloo, Stanley",1846,en,P,PS
The Reminiscences of Sir Henry Hawkins (Baron Brampton),"Brampton, Henry Hawkins, Baron",1817,en,K,KD
Making the House a Home,"Guest, Edgar A. (Edgar Albert)",1881,en,P,PS
Stolen Treasure,"Pyle, Howard",1853,en,P,PS
Joy and Power: Three Messages with One Meaning,"Van Dyke, Henry",1852,en,P,PS
"Andy the Acrobat
Or, Out with the Greatest Show on Earth","Harkness, Peter T.",UNKNOWN YEAR,en,P,PZ
"Affairs of State
Being an Account of Certain Surprising Adventures Which Befell an American Family in the Land of Windmills","Stevenson, Burton Egbert",1872,en,P,PS
The American Child,"McCracken, Elizabeth",1876,en,H,HQ
The Story of Louis Riel: the Rebel Chief,"Collins, J. E. (Joseph Edmund)",1855,en,F,F1001
"Inaugural Address of Franklin Delano Roosevelt
Given in Washington, D.C. March 4th, 1933","Roosevelt, Franklin D. (Franklin Delano)",1882,en,E,E740
The Three Taverns: A Book of Poems,"Robinson, Edwin Arlington",1869,en,P,PS
Historie van Mejuffrouw Sara Burgerhart,"Deken, Agatha",1741,nl,P,PT
"Personal Memoir of Daniel Drayton, For Four Years and Four Months a Prisoner (For Charity's Sake) in Washington Jail
Including A Narrative Of The Voyage And Capture Of The Schooner Pearl","Drayton, Daniel",1802,en,K,KF
A Man and His Money,"Isham, Frederic Stewart",1866,en,P,PS
"'Twixt France and Spain
Or, A Spring in the Pyrenees","Bilbrough, E. Ernest",UNKNOWN YEAR,en,D,DC
Man-Size,"Raine, William MacLeod",1871,en,P,PS
"Clarinet Squawk
One Step",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Heart Bowed Down
Aria from The Bohemian Girl",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"A Perfect Day
Waltz",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Bring Back My Blushing Rose (""Sally Won't You Come Back"")
Foxtrot Medley",Broadway Dance Orchestra,UNKNOWN YEAR,en,M,M
The Crisis of the Naval War,"Jellicoe, John Rushworth Jellicoe, Earl",1859,en,D,D501
Shakespeare's Sonnets,"Shakespeare, William",1564,en,P,PR
The Powers and Maxine,"Williamson, C. N. (Charles Norris)",1859,en,P,PR
By the Sapphire Sea,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
El Choclo Tango,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Fancy Little Nancy,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"I Love You, California
March Song",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Nights of Gladness: Waltz,National Promenade Band,UNKNOWN YEAR,en,M,M
There's a Little Bit of Bad in Every Good Little Girl,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Love, Life & Work
Being a Book of Opinions Reasonably Good-Natured Concerning How to Attain the Highest Happiness for One's Self with the Least Possible Harm to Others","Hubbard, Elbert",1856,en,B,BJ
The Money Moon: A Romance,"Farnol, Jeffery",1878,en,P,PR
The Forest Monster of Oz,"Dulabone, Chris",UNKNOWN YEAR,en,P,PZ
"A Reading of Life, with Other Poems","Meredith, George",1828,en,P,PR
The Principles of Success in Literature,"Lewes, George Henry",1817,en,P,PN
The Life of Lord Byron,"Galt, John",1779,en,P,PR
Caesar Dies,"Mundy, Talbot",1879,en,P,PR
Triplets : Fox Trot,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Caprice Viennois,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Torquato Tasso
Ein Schauspiel","Goethe, Johann Wolfgang von",1749,de,P,PT
Die natürliche Tochter,"Goethe, Johann Wolfgang von",1749,de,P,PT
Scientific Essays and Lectures,"Kingsley, Charles",1819,en,Q,Q
Die Aufgeregten,"Goethe, Johann Wolfgang von",1749,de,P,PT
Miss Lulu Bett,"Gale, Zona",1874,en,P,PS
The Story of Evolution,"McCabe, Joseph",1867,en,Q,QH
Trips to the Moon,"Lucian, of Samosata",120,en,P,PA
"Thirty Years a Slave
From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter: Autobiography of Louis Hughes","Hughes, Louis",1832,en,E,E300
Aunt Jane's Nieces out West,"Baum, L. Frank (Lyman Frank)",1856,en,P,PZ
A Flock of Girls and Boys,"Perry, Nora",1831,en,P,PZ
"Wyandotté; Or, The Hutted Knoll: A Tale","Cooper, James Fenimore",1789,en,P,PS
"The Atlantic Monthly, Volume 02, No. 12, October, 1858
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
Erick and Sally,"Spyri, Johanna",1827,en,P,PZ
Pulpit and Press (6th Edition),"Eddy, Mary Baker",1821,en,B,BX
Up the Hill and Over,"Mackay, Isabel Ecclestone",1875,en,P,PS
"From Yauco to Las Marias
A recent campaign in Puerto Rico by the Independent Regular Brigade under the command of Brig. General Schwan","Herrman, Karl Stephen",UNKNOWN YEAR,en,E,E660
Extract from Captain Stormfield's Visit to Heaven,"Twain, Mark",1835,en,P,PS
Tutt and Mr. Tutt,"Train, Arthur Cheney",1875,en,P,PS
The Green Mouse,"Chambers, Robert W. (Robert William)",1865,en,P,PS
La Comédie de la mort,"Gautier, Théophile",1811,fr,P,PQ
The Rayner-Slade Amalgamation,"Fletcher, J. S. (Joseph Smith)",1863,en,P,PR
The Peace Negotiations: A Personal Narrative,"Lansing, Robert",1864,en,D,D501
American Big Game in Its Haunts: The Book of the Boone and Crockett Club,UNKNOWN AUTHOR,UNKNOWN YEAR,en,S,SK
"The Green Flag, and Other Stories of War and Sport","Doyle, Arthur Conan",1859,en,P,PR
October Vagabonds,"Le Gallienne, Richard",1866,en,P,PR
The Anti-Slavery Harp: A Collection of Songs for Anti-Slavery Meetings,UNKNOWN AUTHOR,UNKNOWN YEAR,en,E,E300
Burnham Breaker,"Greene, Homer",1853,en,P,PZ
Venus and Adonis,"Shakespeare, William",1564,en,P,PR
"Punch, or the London Charivari, Volume 153, August 22, 1917",Various,UNKNOWN YEAR,en,A,AP
"Life of Johnson, Volume 5
Tour to the Hebrides (1773) and Journey into North Wales (1774)","Boswell, James",1740,en,P,PR
Peter's Mother,"De La Pasture, Henry, Mrs.",1866,en,P,PR
A Practical Physiology: A Text-Book for Higher Schools,"Blaisdell, Albert F. (Albert Franklin)",1847,en,Q,QP
Tales for Young and Old,Various,UNKNOWN YEAR,en,P,PN
A Golden Book of Venice,"Turnbull, Lawrence, Mrs.",UNKNOWN YEAR,en,P,PS
"The Atlantic Monthly, Volume 02, No. 11, September, 1858
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
The Lonely Dancer and Other Poems,"Le Gallienne, Richard",1866,en,P,PR
"Three short works
The Dance of Death, the Legend of Saint Julian the Hospitaller, a Simple Soul.","Flaubert, Gustave",1821,en,P,PQ
The Celtic Twilight,"Yeats, W. B. (William Butler)",1865,en,P,PR
"God, the Invisible King","Wells, H. G. (Herbert George)",1866,en,B,BT
When Day is Done,"Guest, Edgar A. (Edgar Albert)",1881,en,P,PS
Journals of Australian Explorations,"Gregory, Francis Thomas",1821,en,D,DU
Clarissa Harlowe; or the history of a young lady — Volume 4,"Richardson, Samuel",1689,en,P,PR
The Little House in the Fairy Wood,"Eliot, Ethel Cook",1890,en,P,PZ
"A Child's Anti-Slavery Book
Containing a Few Words about American Slave Children and Stories
of Slave-Life.",Various,UNKNOWN YEAR,en,E,E300
"The Outdoor Girls of Deepdale; Or, camping and tramping for fun and health","Hope, Laura Lee",UNKNOWN YEAR,en,P,PZ
Little Saint Elizabeth and Other Stories,"Burnett, Frances Hodgson",1849,en,P,PZ
"A Select Collection of Old English Plays, Volume 08",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
Aunt Jane's Nieces in Society,"Baum, L. Frank (Lyman Frank)",1856,en,P,PZ
Johnny Crow's Garden,"Brooke, L. Leslie (Leonard Leslie)",1862,en,P,PZ
The New Machiavelli,"Wells, H. G. (Herbert George)",1866,en,P,PR
Nine Hundred Miles,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
The World's Greatest Books — Volume 01 — Fiction,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
Arthurian Chronicles: Roman de Brut,Wace,UNKNOWN YEAR,en,P,PQ
The Heart of the Range,"White, William Patterson",1884,en,P,PS
The Lost Naval Papers,"Copplestone, Bennet",1867,en,P,PS
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 326, August 9, 1828",Various,UNKNOWN YEAR,en,A,AP
"The Vanishing Man
A Detective Romance","Freeman, R. Austin (Richard Austin)",1862,en,P,PR
"Beacon Lights of History, Volume 01: The Old Pagan Civilizations","Lord, John",1810,en,D,D
"Beacon Lights of History, Volume 02: Jewish Heroes and Prophets","Lord, John",1810,en,D,D
"Our Churches and Chapels: Their Parsons, Priests, & Congregations
Being a Critical and Historical Account of Every Place of Worship in Preston",Atticus,1835,en,D,DA
The Ruling Passion: Tales of Nature and Human Nature,"Van Dyke, Henry",1852,en,P,PS
Kauppa-Lopo,"Canth, Minna",1844,fi,P,PH
Rautatie,"Aho, Juhani",1861,fi,P,PH
The Young Mother: Management of Children in Regard to Health,"Alcott, William A. (William Andrus)",1798,en,H,HQ
Short Stories Old and New,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
"Beacon Lights of History, Volume 03: Ancient Achievements","Lord, John",1810,en,D,D
Experiments in Government and the Essentials of the Constitution,"Root, Elihu",1845,en,J,JK
Twelve Gates to the City,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Alabama Bound,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Away in a Manger,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
An English Garner: Critical Essays & Literary Fragments,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
Vanished Arizona: Recollections of the Army Life by a New England Woman,"Summerhayes, Martha",1844,en,F,F786
The Golden Legend,"Longfellow, Henry Wadsworth",1807,en,P,PS
"Practice Book, Leland Powers School","Powers, Leland Todd",1857,en,P,PN
Agnes,"Canth, Minna",1844,fi,P,PH
The Old Bush Songs,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
Henry the Second,"Green, Alice Stopford",1848,en,D,DA
Under King Constantine,"Trask, Katrina",1853,en,P,PS
"Red Masquerade
Being the Story of the Lone Wolf's Daughter","Vance, Louis Joseph",1879,en,P,PS
Battle Hymn of the Republic,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Ain' No Mo' Cane on De Brazis,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Delia's Gone,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Persuasion,"Austen, Jane",1775,en,P,PR
The Dark Lady of the Sonnets,"Shaw, Bernard",1856,en,P,PR
Heave Away,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
The Whale Catchers,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Vecchie Storie,"De Marchi, Emilio",1851,it,P,PQ
John Henry,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Liverpool Gals,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Waltzing Matilda,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
"Romance de lobos, comedia barbara","Valle-Inclán, Ramón del",1866,es,P,PQ
"Mary, Erzählung","Bjørnson, Bjørnstjerne",1832,de,P,PT
"The Sorrows of a Show Girl
A Story of the Great ""White Way""","McGaffey, Kenneth",UNKNOWN YEAR,en,P,PS
The Bars of Iron,"Dell, Ethel M. (Ethel May)",1881,en,P,PR
Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh,"Carlyle, Thomas",1795,en,P,PR
Inaugural Presidential Address,"Clinton, Bill",1946,en,E,E838
"A Rogue by Compulsion
An Affair of the Secret Service","Bridges, Victor",UNKNOWN YEAR,en,P,PR
Het portret van Dorian Gray,"Wilde, Oscar",1854,nl,P,PR
"On the Seashore
Cassell's ""Eyes and No Eyes"" Series, Book VII","Smith, R. Cadwallader",UNKNOWN YEAR,en,Q,QH
"De jongere generatie
gesprekken met vertegenwoordigers van de nieuwere richting in onze
literatuur; tevens een enquête naar enkele beginselen in ons nationaal
geestelijk leven","D'Oliveira, E. (Elias)",1886,nl,P,PT
Rhymes of a Roughneck,"Cotter, Frank J.",UNKNOWN YEAR,en,P,PS
Bits about Home Matters,"Jackson, Helen Hunt",1830,en,H,HQ
"Government and Rebellion
A Sermon Delivered in the North Broad Street Presbyterian Church, Sunday Morning, April 28, 1861","Adams, E. E. (Ezra Eastman)",1813,en,E,E456
Poems,"Hay, John",1838,en,P,PS
Mercy Philbrick's Choice,"Jackson, Helen Hunt",1830,en,P,PS
"Step by Step; Or, Tidy's Way to Freedom",American Tract Society,UNKNOWN YEAR,en,P,PZ
"The Compleat Cook
Expertly Prescribing the Most Ready Wayes, Whether Italian,
Spanish or French, for Dressing of Flesh and Fish, Ordering
Of Sauces or Making of Pastry",W. M.,UNKNOWN YEAR,en,T,TX
"The Primadonna
A Sequel to ""Fair Margaret""","Crawford, F. Marion (Francis Marion)",1854,en,P,PS
"Beacon Lights of History, Volume 04: Imperial Antiquity","Lord, John",1810,en,D,D
Alcestis,Euripides,UNKNOWN YEAR,en,P,PA
We Wish You a Merry Christmas,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Michael Row the Boat Ashore,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Nancy Whiskey,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
On the Banks of the Ohio,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
I Heard the Bells on Christmas Day,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
I am a Pilgrim,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Within the Tides: Tales,"Conrad, Joseph",1857,en,P,PR
Ride Railroad Bill,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
"Beacon Lights of History, Volume 05: The Middle Ages","Lord, John",1810,en,D,D
"Beacon Lights of History, Volume 06: Renaissance and Reformation","Lord, John",1810,en,D,D
"Beacon Lights of History, Volume 07: Great Women","Lord, John",1810,en,D,D
The Double Traitor,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,P,PR
"Jingle Bells
Or, The One Horse Open Sleigh","Pierpont, James",1822,en,M,M
Project Gutenberg Fanfare,"Erickson, Joel A.",UNKNOWN YEAR,en,M,M
The Governors,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,P,PR
Hyacinth,"Birmingham, George A.",1865,en,P,PR
In the Riding-School; Chats with Esmeralda,"Browne, Theo. Stephenson",UNKNOWN YEAR,en,S,SF
A Collection of Ballads,"Lang, Andrew",1844,en,P,PR
Mother Carey's Chickens,"Wiggin, Kate Douglas Smith",1856,en,P,PS
"Children's Classics in Dramatic Form
A Reader for the Fourth Grade","Stevenson, Augusta",UNKNOWN YEAR,en,P,PN
