Title,Author,Author Birth Year,Languuage,LCC (General),LCC (Full)
Hamburgische Dramaturgie,"Lessing, Gotthold Ephraim",1729,de,P,PN
"Chinese Literature
Comprising the Analects of Confucius, the Sayings of Mencius, the Shi-King, the Travels of Fâ-Hien, and the Sorrows of Han",Faxian,-385,en,P,PJ
The Secret of the Tower,"Hope, Anthony",1863,en,P,PR
"The Divine Office
A Study of the Roman Breviary","Quigley, Edward J.",UNKNOWN YEAR,en,B,BX
Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856,en,P,PZ
"Divine Comedy, Cary's Translation, Purgatory",Dante Alighieri,1265,en,P,PQ
"Discourses: Biological & Geological
Essays","Huxley, Thomas Henry",1825,en,Q,Q
Les Heures Claires,"Verhaeren, Emile",1855,fr,P,PQ
"The Iron Game
A Tale of the War","Keenan, Henry F. (Henry Francis)",1850,en,P,PS
Happiness and Marriage,"Towne, Elizabeth",UNKNOWN YEAR,en,H,HQ
Beltane the Smith,"Farnol, Jeffery",1878,en,P,PR
"The Constitution of the United States
A Brief Study of the Genesis, Formulation and Political Philosophy of the Constitution","Beck, James M. (James Montgomery)",1861,en,K,KF
Gunman's Reckoning,"Brand, Max",1892,en,P,PS
The Mystery of the Boule Cabinet: A Detective Story,"Stevenson, Burton Egbert",1872,en,P,PS
The Power and the Glory,"Cooke, Grace MacGowan",1863,en,P,PS
"Account of the Romansh Language
In a Letter to Sir John Pringle, Bart. P. R. S.","Planta, Joseph",1744,en,P,PC
"Divine Comedy, Cary's Translation, Paradise",Dante Alighieri,1265,en,P,PQ
Stories of Great Americans for Little Americans,"Eggleston, Edward",1837,en,E,E151
By-Ways of Bombay,"Edwardes, S. M. (Stephen Meredyth)",1873,en,D,DS
"English Housewifery
Exemplified in above Four Hundred and Fifty Receipts Giving Directions for most Parts of Cookery","Moxon, Elizabeth",UNKNOWN YEAR,en,T,TX
The Century Vocabulary Builder,"Greever, Garland",1883,en,P,PE
"The Mirror of Literature, Amusement, and Instruction
Volume 10, No. 269, August 18, 1827",Various,UNKNOWN YEAR,en,A,AP
"A Narrative of the Life and Adventures of Venture, a Native of Africa, but Resident above Sixty Years in the United States of America, Related by Himself","Smith, Venture",UNKNOWN YEAR,en,E,E300
Lister's Great Adventure,"Bindloss, Harold",1866,en,P,PR
"The Atlantic Monthly, Volume 10, No. 60, October, 1862
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
Plain Words from America: A Letter to a German Professor (1917),"Johnson, Douglas Wilson",1878,en,D,D501
"The Atlantic Monthly, Volume 02, No. 09, July, 1858
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"Divine Comedy, Cary's Translation, Complete",Dante Alighieri,1265,en,P,PQ
Mobilizing Woman-Power,"Blatch, Harriot Stanton",1856,en,D,D501
"The Boy Allies at Jutland; Or, The Greatest Naval Battle of History","Hayes, Clair W. (Clair Wallace)",1887,en,P,PZ
The Hampstead Mystery,"Watson, John R. (John Reay)",1872,en,P,PR
The House of the Whispering Pines,"Green, Anna Katharine",1846,en,P,PS
Kazan,"Curwood, James Oliver",1878,en,P,PS
"Moorish Literature
Comprising Romantic Ballads, Tales of the Berbers, Stories of the Kabyles, Folk-Lore, and National Traditions",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PQ
The Minute Boys of the Mohawk Valley,"Otis, James",1848,en,P,PZ
Old Lady Number 31,"Forsslund, Louise",1876,en,P,PS
"Thaumaturgia; Or, Elucidations of the Marvellous",Oxonian,UNKNOWN YEAR,en,B,BF
Elves and Heroes,"Mackenzie, Donald A. (Donald Alexander)",1873,en,P,PR
La Divina Commedia di Dante: Inferno,Dante Alighieri,1265,it,P,PQ
Peaceless Europe,"Nitti, Francesco Saverio",1868,en,D,D501
"Punchinello, Volume 2, No. 31, October 29, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 2, No. 30, October 22, 1870",Various,UNKNOWN YEAR,en,A,AP
"Gutta-Percha Willie
The Working Genius","MacDonald, George",1824,en,P,PZ
A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat,"Stevenson, Burton Egbert",1872,en,P,PS
"The Twilight of the Gods, and Other Tales","Garnett, Richard",1835,en,P,PR
The Trojan women of Euripides,Euripides,UNKNOWN YEAR,en,P,PA
The Healing of Nations and the Hidden Sources of Their Strife,"Carpenter, Edward",1844,en,D,D501
"How Jerusalem Was Won
Being the Record of Allenby's Campaign in Palestine","Massey, W. T. (William Thomas)",UNKNOWN YEAR,en,D,D501
Towards the Goal,"Ward, Humphry, Mrs.",1851,en,D,D501
The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"Sterling, Bruce",1954,en,H,HV
La Divina Commedia di Dante: Purgatorio,Dante Alighieri,1265,it,P,PQ
Byron,"Nichol, John",1833,en,P,PR
A Little Boy Lost,"Hudson, W. H. (William Henry)",1841,en,P,PZ
The Czar's Spy: The Mystery of a Silent Love,"Le Queux, William",1864,en,P,PR
"The Great Events by Famous Historians, Volume 08
The Later Renaissance: from Gutenberg to the Reformation",UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,D
"Punchinello, Volume 2, No. 32,  November 5, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 2, No. 33, November 12, 1870",Various,UNKNOWN YEAR,en,A,AP
"Punchinello, Volume 2, No. 34, November 19, 1870",Various,UNKNOWN YEAR,en,A,AP
With British Guns in Italy: A Tribute to Italian Achievement,"Dalton, Hugh Dalton, Baron",1887,en,D,D501
"A Treatise of Daunses, Wherin It is Shewed, That They Are as It Were Accessories and Dependants (Or Thynges Annexed) to Whoredome
Where Also by the Way is Touched and Proued, That Playes Are Ioyned and Knit Togeather in a Rancke or Rowe with Them (1581)",Anonymous,UNKNOWN YEAR,en,P,PN
The Unspeakable Gentleman,"Marquand, John P. (John Phillips)",1893,en,P,PS
La Divina Commedia di Dante: Paradiso,Dante Alighieri,1265,it,P,PQ
The Postmaster's Daughter,"Tracy, Louis",1863,en,P,PR
Boys and Girls from Thackeray,"Sweetser, Kate Dickinson",UNKNOWN YEAR,en,P,PR
American Political Ideas Viewed from the Standpoint of Universal History,"Fiske, John",1842,en,J,JK
"De mannen van '80 aan het woord
Een onderzoek vaar eenige beginselen van de ""Nieuwe-Gids""-school.","D'Oliveira, E. (Elias)",1886,nl,P,PT
"The Great Events by Famous Historians, Volume 02
(From the Rise of Greece to the Christian Era)",UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,D
"Two Centuries of Costume in America, Volume 1 (1620-1820)","Earle, Alice Morse",1851,en,G,GT
All Saints' Day and Other Sermons,"Kingsley, Charles",1819,en,B,BX
Den siste atenaren,"Rydberg, Viktor",1828,sv,P,PT
The Folk-lore of Plants,"Dyer, T. F. Thiselton (Thomas Firminger Thiselton)",1848,en,G,GR
Adonais,"Shelley, Percy Bysshe",1792,en,P,PR
La Divina Commedia di Dante,Dante Alighieri,1265,it,P,PQ
England of My Heart : Spring,"Hutton, Edward",1875,en,D,DA
"The Literature of Arabia
With Critical and Biographical Sketches by Epiphanius Wilson",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PJ
Fairies and Fusiliers,"Graves, Robert",1895,en,P,PR
Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",1856,en,P,PZ
Aunt Jane's Nieces and Uncle John,"Baum, L. Frank (Lyman Frank)",1856,en,P,PZ
The Best Letters of Charles Lamb,"Lamb, Charles",1775,en,P,PR
Home-Life of the Lancashire Factory Folk during the Cotton Famine,"Waugh, Edwin",1817,en,H,HD
Abducted to Oz,"Evans, Robert J.",UNKNOWN YEAR,en,P,PZ
"The Great Events by Famous Historians, Volume 17",UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,D
Excellent Women,Various,UNKNOWN YEAR,en,B,BV
The First Men in the Moon,"Wells, H. G. (Herbert George)",1866,en,P,PR
"The Works of Charles and Mary Lamb — Volume 3
Books for Children","Lamb, Mary",1764,en,P,PZ
"Required Poems for Reading and Memorizing
Third and Fourth Grades, Prescribed by State Courses of Study",Anonymous,UNKNOWN YEAR,en,P,PZ
The Sowers,"Merriman, Henry Seton",1862,en,P,PR
"The Vigil of Venus and Other Poems by ""Q""","Quiller-Couch, Arthur",1863,en,P,PR
"John Wesley, Jr.
The Story of an Experiment","Brummitt, Dan B. (Dan Brearley)",1867,en,P,PS
"The Great English Short-Story Writers, Volume 1",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
The Book of Household Management,"Beeton, Mrs. (Isabella Mary)",1836,en,T,TX
"Mary Had a Little Lamb
Recording taken from Movietone Production news film","Edison, Thomas A. (Thomas Alva)",1847,en,P,PS
"The Atlantic Monthly, Volume 01, No. 02, December, 1857
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
The Faith of the Millions (2nd series),"Tyrrell, George",1861,en,B,BX
The Lure of the Dim Trails,"Bower, B. M.",1874,en,P,PS
"Rhetoric and Poetry in the Renaissance
A Study of Rhetorical Terms in English Renaissance Literary Criticism","Clark, Donald Lemen",1888,en,P,PN
"A Discourse on the Life, Character and Writings of Gulian Crommelin Verplanck
Delivered before the New-York Historical Society, May 17th, 1870","Bryant, William Cullen",1794,en,P,PS
"Maezli
A Story of the Swiss Valleys","Spyri, Johanna",1827,en,P,PZ
"Punch, or the London Charivari, Volume 153, July 11, 1917",Various,UNKNOWN YEAR,en,A,AP
