Title,Authors,Author Birth Years,Languages,LCC Subjects
Home-Life of the Lancashire Factory Folk during the Cotton Famine,"Waugh, Edwin",1817,en,HD
The Sowers,"Merriman, Henry Seton",1862,en,PR
"The Vigil of Venus and Other Poems by ""Q""","Quiller-Couch, Arthur",1863,en,PR
"John Wesley, Jr.
The Story of an Experiment","Brummitt, Dan B. (Dan Brearley)",1867,en,PS
The Book of Household Management,"Beeton, Mrs. (Isabella Mary)",1836,en,TX
The Faith of the Millions (2nd series),"Tyrrell, George",1861,en,BX
The First Men in the Moon,"Wells, H. G. (Herbert George)",1866,en,PR
"A Discourse on the Life, Character and Writings of Gulian Crommelin Verplanck
Delivered before the New-York Historical Society, May 17th, 1870","Bryant, William Cullen",1794,en,PS
"Maezli
A Story of the Swiss Valleys","Spyri, Johanna",1827,en,PZ
Turkey: a Past and a Future,"Toynbee, Arnold",1889,en,D501
"Reminiscences of Pioneer Days in St. Paul
A Collection of Articles Written for and Published in the Daily Pioneer Press","Moore, Frank",1843,en,F590.3
America's War for Humanity,"Russell, Thomas Herbert",1862,en,D501
The Merry Adventures of Robin Hood,"Pyle, Howard",1853,en,PZ PR
"Home as Found
Sequel to ""Homeward Bound""","Cooper, James Fenimore",1789,en,PS
Dracula's Guest,"Stoker, Bram",1847,en,PR
England and the War,"Raleigh, Walter Alexander, Sir",1861,en,D501
"Mohammedanism
Lectures on Its Origin, Its Religious and Political Growth, and Its Present State","Hurgronje, C. Snouck (Christiaan Snouck)",1857,en,BP
"The Black Creek Stopping-House, and Other Stories","McClung, Nellie L.",1873,en,PS
"Across the Zodiac
The Story of a Wrecked Record","Greg, Percy",1836,en,PR
"What Germany Thinks
Or, The War as Germans see it","Smith, Thomas F. A.",1875,en,D501
On the Improvement of the Understanding,"Spinoza, Benedictus de",1632,en,B
The Water-Babies,"Kingsley, Charles",1819,en,PZ
The Hacker Crackdown: Law and Disorder on the Electronic Frontier,"Sterling, Bruce",1954,en,HV
The Desert of Wheat,"Grey, Zane",1872,en,PS
"Maria Mitchell: Life, Letters, and Journals","Mitchell, Maria",1818,en,QB
Sword Blades and Poppy Seed,"Lowell, Amy",1874,en,PS
"Wolves of the Sea
Being a Tale of the Colonies from the Manuscript of One Geoffry Carlyle, Seaman, Narrating Certain Strange Adventures Which Befell Him Aboard the Pirate Craft ""Namur""","Parrish, Randall",1858,en,PS
Peck's Bad Boy with the Circus,"Peck, George W. (George Wilbur)",1840,en,PZ
The Everlasting Whisper,"Gregory, Jackson",1882,en,PS
Introduction to the Philosophy and Writings of Plato,"Taylor, Thomas",1758,en,B
Poems,"Holley, Marietta",1836,en,PS
The Land of Little Rain,"Austin, Mary Hunter",1868,en,F850.5
The Poetical Works of William Wordsworth — Volume 1 (of 8),"Wordsworth, William",1770,en,PR
"The Congo, and Other Poems","Lindsay, Vachel",1879,en,PS
Daddy Takes Us Skating,"Garis, Howard Roger",1873,en,PZ
Purple Springs,"McClung, Nellie L.",1873,en,PS
"The Pilgrims of New England
A Tale of the Early American Settlers","Webb-Peploe, Mrs. (Annie)",1805,en,PR
Beautiful Joe: An Autobiography,"Saunders, Marshall",1861,en,PS
Walking,"Thoreau, Henry David",1817,en,PS
Old Creole Days: A Story of Creole Life,"Cable, George Washington",1844,en,PS
Bleak House,"Dickens, Charles",1812,en,PR
Town Geology,"Kingsley, Charles",1819,en,QE
"Essays; Political, Economical, and Philosophical — Volume 1","Rumford, Benjamin, Graf von",1753,en,Q
"The Glands Regulating Personality
A Study of the Glands of Internal Secretion in Relation to the Types of Human Nature","Berman, Louis",1893,en,QP
Patty at Home,"Wells, Carolyn",1862,en,PZ
Sermons on Evil-Speaking,"Barrow, Isaac",1630,en,BV BJ
In the Fourth Year: Anticipations of a World Peace,"Wells, H. G. (Herbert George)",1866,en,D501
"The Persian Literature, Comprising The Shah Nameh, The Rubaiyat, The Divan, and The Gulistan, Volume 1",Omar Khayyam,1048,en,PJ
Roy Blakeley's Adventures in Camp,"Fitzhugh, Percy Keese",1876,en,PZ
Damon and Delia: A Tale,"Godwin, William",1756,en,PR
"Dave Darrin's Third Year at Annapolis; Or, Leaders of the Second Class Midshipmen","Hancock, H. Irving (Harrie Irving)",1868,en,PZ
Dotty Dimple at Play,"May, Sophie",1833,en,PZ
Dragon's blood,"Rideout, Henry Milner",1877,en,PS
Miss Prudence: A Story of Two Girls' Lives.,"Conklin, Nathaniel, Mrs.",1841,en,PS
"The Rover Boys at College; Or, The Right Road and the Wrong","Stratemeyer, Edward",1862,en,PZ
Bull Hunter,"Brand, Max",1892,en,PS
The Gospel of the Pentateuch: A Set of Parish Sermons,"Kingsley, Charles",1819,en,BX
David: Five Sermons,"Kingsley, Charles",1819,en,BS
Alias the Lone Wolf,"Vance, Louis Joseph",1879,en,PS
Poems,"Cassels, Walter Richard",1826,en,PR
Snubby Nose and Tippy Toes,"Smith, Laura Rountree",1876,en,PZ
The European Anarchy,"Dickinson, G. Lowes (Goldsworthy Lowes)",1862,en,D501
Children's Rights: A Book of Nursery Logic,"Wiggin, Kate Douglas Smith",1856,en,HQ
Lady into Fox,"Garnett, David",1892,en,PR
With the Turks in Palestine,"Aaronsohn, Alexander",1888,en,D501
Rose o' the River,"Wiggin, Kate Douglas Smith",1856,en,PS
Dab Kinzer: A Story of a Growing Boy,"Stoddard, William Osborn",1835,en,PZ
The Velvet Glove,"Merriman, Henry Seton",1862,en,PR
Domestic Manners of the Americans,"Trollope, Frances Milton",1780,en,E151
Poems,"Owen, Wilfred",1893,en,PR
"The Works of Samuel Johnson, LL.D. in Eleven Volumes, Volume 06
Reviews, Political Tracts, and Lives of Eminent Persons","Johnson, Samuel",1709,en,PR
"The Works of Samuel Johnson, LL.D. Volume 10
Parlimentary Debates I","Johnson, Samuel",1709,en,DA
"The Works of Samuel Johnson, LL.D. Volume 11.
Parlimentary Debates II.","Johnson, Samuel",1709,en,DA
"Travels in Morocco, Volume 1.","Richardson, James",1806,en,DT
"Travels in Morocco, Volume 2.","Richardson, James",1806,en,DT
"Life of Johnson, Volume 4
1780-1784","Boswell, James",1740,en,PR
The Boss of Little Arcady,"Wilson, Harry Leon",1867,en,PS
Aunt Jane's Nieces at Millville,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
The Man Against the Sky: A Book of Poems,"Robinson, Edwin Arlington",1869,en,PS
