Title,Authors,Author Birth Years,Languages,LCC Subjects
Doctor Rabbit and Brushtail the Fox,"Hinkle, Thomas C. (Thomas Clark)",1876,en,PZ
In Search of the Unknown,"Chambers, Robert W. (Robert William)",1865,en,PS
North America — Volume 2,"Trollope, Anthony",1815,en,E151
Bruges and West Flanders,"Omond, George W. T. (George William Thomson)",1846,en,DH
Never-Fail Blake,"Stringer, Arthur",1874,en,PS
"Astrophel and Other Poems
Taken from The Collected Poetical Works of Algernon Charles
Swinburne, Vol. VI","Swinburne, Algernon Charles",1837,en,PR
A Chinese Wonder Book,"Pitman, Norman Hinsdale",1876,en,GR
"Modern Skepticism: A Journey Through the Land of Doubt and Back Again
A Life Story","Barker, Joseph",1806,en,BX
Our Navy in the War,"Perry, Lawrence",1875,en,D501
A Victorious Union,"Optic, Oliver",1822,en,PZ
Historical Mysteries,"Lang, Andrew",1844,en,D
The Diary of a Goose Girl,"Wiggin, Kate Douglas Smith",1856,en,PZ PS
"Practical Forestry in the Pacific Northwest
Protecting Existing Forests and Growing New Ones, from the Standpoint of the Public and That of the Lumberman, with an Outline of Technical Methods","Allen, E. T. (Edward Tyson)",1875,en,SD
Across the Fruited Plain,"Means, Florence Crannell",1891,en,PZ
Ralph Granger's Fortunes,"Brown, William Perry",1847,en,PZ
A Certain Rich Man,"White, William Allen",1868,en,PS
Lectures on Modern history,"Acton, John Emerich Edward Dalberg Acton, Baron",1834,en,D
Melbourne House,"Warner, Susan",1819,en,PZ
Daisy,"Warner, Susan",1819,en,PZ PS
Daisy in the Field,"Warner, Susan",1819,en,PZ
"The Wide, Wide World","Warner, Susan",1819,en,PS
"Queechy, Volume I","Warner, Susan",1819,en,PZ
"Queechy, Volume II","Warner, Susan",1819,en,PZ
"The Olden Time Series, Vol. 6: Literary Curiosities
Gleanings Chiefly from Old Newspapers of Boston and Salem, Massachusetts","Brooks, Henry M. (Henry Mason)",1822,en,F001
The Recitation,"Betts, George Herbert",1868,en,LB
The Mayor of Warwick,"Hopkins, Herbert M. (Herbert Müller)",1870,en,PS
"Illustrated Catalogue of the Collections Obtained from the Indians of New Mexico in 1880
Second Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1880-81, Government Printing Office, Washington, 1883, pages 429-466","Stevenson, James",1840,en,E011
The Poor Plutocrats,"Jókai, Mór",1825,en,PH
Gilbert Keith Chesterton,"Ward, Maisie",1889,en,PR
Dr. Dumany's Wife,"Jókai, Mór",1825,en,PH
"Levels of Living
Essays on Everyday Ideals","Cope, Henry Frederick",1870,en,BJ
Violets and Other Tales,"Dunbar-Nelson, Alice Moore",1875,en,PS
Abe and Mawruss: Being Further Adventures of Potash and Perlmutter,"Glass, Montague",1877,en,PS
Space Tug,"Leinster, Murray",1896,en,PS
The Victim: A Romance of the Real Jefferson Davis,"Dixon, Thomas",1864,en,PS
A Napa Christchild; and Benicia's Letters,"Gunnison, Charles A.",1861,en,PS
"Poems and Ballads (Third Series)
Taken from The Collected Poetical Works of Algernon Charles
Swinburne—Vol. III","Swinburne, Algernon Charles",1837,en,PR
"Zophiel
A Poem","Brooks, Maria Gowen",1794,en,PS
Wandering Heath,"Quiller-Couch, Arthur",1863,en,PR
A Text-book of Assaying: For the Use of Those Connected with Mines.,"Beringer, J. J. (John Jacob)",1857,en,TN
Undine,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",1777,en,PZ
The Heart's Kingdom,"Daviess, Maria Thompson",1872,en,PS
"Prince Henry the Navigator, the Hero of Portugal and of Modern Discovery, 1394-1460 A.D.
With an Account of Geographical Progress Throughout the Middle Ages As the Preparation for His Work.","Beazley, C. Raymond (Charles Raymond)",1868,en,G
By Berwen Banks,"Raine, Allen",1836,en,PR
Painted Windows,"Peattie, Elia Wilkinson",1862,en,PS
"Wee Peter Pug
The Story of a Bit of Mischief and What Came of It","Aris, Ernest A. (Ernest Alfred)",1882,en,PZ
The Circular Study,"Green, Anna Katharine",1846,en,PS
Life in Morocco and Glimpses Beyond,"Meakin, Budgett",1866,en,DT DP
Stories about Animals: with Pictures to Match,"Woodworth, Francis C. (Francis Channing)",1812,en,QL
The Sky Is Falling,"Del Rey, Lester",1915,en,PS
"The Autobiography of a Play
Papers on Play-Making, II","Howard, Bronson",1842,en,PN
"A Christmas Story
Man in His Element: or, A New Way to Keep House","Francis, Samuel W. (Samuel Ward)",1835,en,PS
The Sun of Quebec: A Story of a Great Crisis,"Altsheler, Joseph A. (Joseph Alexander)",1862,en,PZ
"Garthowen
A Story of a Welsh Homestead","Raine, Allen",1836,en,PR
"Shakespeare and the Modern Stage
with Other Essays","Lee, Sidney, Sir",1859,en,PR
Hero and Leander,"Marlowe, Christopher",1564,en,PR
"Studies in Song, A Century of Roundels, Sonnets on English Dramatic Poets, The Heptalogia, Etc.
From Swinburne's Poems Volume V.","Swinburne, Algernon Charles",1837,en,PR
Life of St. Francis of Assisi,"Sabatier, Paul",1858,en,BX
Post-Prandial Philosophy,"Allen, Grant",1848,en,PR
Swirling Waters,"Rittenberg, Max",1880,en,PR
The Insect Folk,"Morley, Margaret Warner",1858,en,QL
John Gabriel Borkman,"Ibsen, Henrik",1828,en,PT
Three Years' War,"De Wet, Christiaan Rudolf",1854,en,DT
"Transactions of the American Society of Civil Engineers, Vol. LXX, Dec. 1910
Address at the 42d Annual Convention, Chicago, Illinois, June 21st, 1910, Paper No. 1178","Bensel, J. A. (John Anderson)",1863,en,TA
The Growth of English Drama,"Wynne, Arnold",1880,en,PR
"Royalty Restored; Or, London Under Charles II","Molloy, J. Fitzgerald (Joseph Fitzgerald)",1858,en,DA
Last Enemy,"Piper, H. Beam",1904,en,PS
Green Valley,"Reynolds, Katharine Yirsa",1883,en,PS
Fighting for the Right,"Optic, Oliver",1822,en,PZ
He Walked Around the Horses,"Piper, H. Beam",1904,en,PS
The Tiger of Mysore: A Story of the War with Tippoo Saib,"Henty, G. A. (George Alfred)",1832,en,PZ
The Mercenaries,"Piper, H. Beam",1904,en,PS
Stand By The Union,"Optic, Oliver",1822,en,PZ
Ralestone Luck,"Norton, Andre",1912,en,PS
"On the Evolution of Language
First Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1879-80, Government Printing Office, Washington, 1881, pages 1-16","Powell, John Wesley",1834,en,P E011
"Hume
(English Men of Letters Series)","Huxley, Thomas Henry",1825,en,B
Personal Recollections of Birmingham and Birmingham Men,"Edwards, Eliezer",1815,en,DA
The House of Martha,"Stockton, Frank Richard",1834,en,PS
Fairies and Folk of Ireland,"Frost, William Henry",1863,en,PZ
Time and Time Again,"Piper, H. Beam",1904,en,PS
A Cardinal Sin,"Sue, Eugène",1804,en,PQ
"With Clive in India; Or, The Beginnings of an Empire","Henty, G. A. (George Alfred)",1832,en,PZ
The Belgians to the Front,"Fiske, James",1885,en,PZ
Avril: Being Essays on the Poetry of the French Renaissance,"Belloc, Hilaire",1870,en,PQ
"A Dream of Empire
Or, The House of Blennerhassett","Venable, William Henry",1836,en,PS
Elizabethan Sonnet Cycles: Phillis - Licia,"Fletcher, Giles",1548,en,PR
Voodoo Planet,"Norton, Andre",1912,en,PS
The White Sister,"Crawford, F. Marion (Francis Marion)",1854,en,PS
Gibbon,"Morison, James Cotter",1832,en,PR
The Gourmet's Guide to Europe,"Newnham-Davis, Lieut.-Col. (Nathaniel)",1854,en,D
The Settling of the Sage,"Evarts, Hal G. (Hal George)",1887,en,PS
A Journey to the Centre of the Earth,"Verne, Jules",1828,en,PQ
Cross Purposes and The Shadows,"MacDonald, George",1824,en,PZ
Bunyan Characters (1st Series),"Whyte, Alexander",1836,en,PR
Shadows of the Stage,"Winter, William",1836,en,PN
Temple Trouble,"Piper, H. Beam",1904,en,PS
"The Uncollected Writings of Thomas de Quincey—Vol. 1
With a Preface and Annotations by James Hogg","De Quincey, Thomas",1785,en,PR
The Loom of Youth,"Waugh, Alec",1898,en,PR
With Kitchener in the Soudan: A Story of Atbara and Omdurman,"Henty, G. A. (George Alfred)",1832,en,PZ
On Limitations to the Use of Some Anthropologic Data,"Powell, John Wesley",1834,en,E011
Bunyan Characters (2nd Series),"Whyte, Alexander",1836,en,PR
"A Channel Passage and Other Poems
Taken from The Collected Poetical Works of Algernon Charles
Swinburne—Vol VI","Swinburne, Algernon Charles",1837,en,PR
The Field of Clover,"Housman, Laurence",1865,en,PZ
Contes et légendes. 1re Partie,"Guerber, H. A. (Hélène Adeline)",1859,fr en,PC
The Boy With the U. S. Foresters,"Rolt-Wheeler, Francis",1876,en,PZ
The Prairie Wife,"Stringer, Arthur",1874,en,PS
Woman Triumphant (La Maja Desnuda),"Blasco Ibáñez, Vicente",1867,en,PQ
The Age of the Reformation,"Smith, Preserved",1880,en,D
The Life of the Spider,"Fabre, Jean-Henri",1823,en,QL
The Idiot,"Bangs, John Kendrick",1862,en,PS
The Isles of Sunset,"Benson, Arthur Christopher",1862,en,PR
The Four Feathers,"Mason, A. E. W. (Alfred Edward Woodley)",1865,en,PR
Franklin Kane,"Sedgwick, Anne Douglas",1873,en,PR
Dot and the Kangaroo,"Pedley, Ethel C.",1859,en,PZ
A Thoughtless Yes,"Gardener, Helen H. (Helen Hamilton)",1853,en,PS
"Sketches and Studies in Italy and Greece, Complete
Series I, II, and III","Symonds, John Addington",1840,en,DF DG
At Home with the Jardines,"Bell, Lilian",1867,en,PS
Faith Gartney's Girlhood,"Whitney, A. D. T. (Adeline Dutton Train)",1824,en,PZ
"The Epic of Gilgamish
A Fragment of the Gilgamish Legend in Old-Babylonian Cuneiform","Langdon, Stephen",1876,en,PJ
"Bird Neighbors
An Introductory Acquaintance with One Hundred and Fifty Birds Commonly Found in the Gardens, Meadows, and Woods About Our Homes","Blanchan, Neltje",1865,en,QL
A Text-Book of the History of Painting,"Van Dyke, John Charles",1856,en,ND
Flood Tide,"Bassett, Sara Ware",1872,en,PS
The Last Harvest,"Burroughs, John",1837,en,PS
"History of English Humour, Vol. 2","L'Estrange, A. G. K. (Alfred Guy Kingan)",1832,en,PR
"""Speaking of Operations--""","Cobb, Irvin S. (Irvin Shrewsbury)",1876,en,PS
"Biology
A lecture delivered at Columbia University in the series
on Science, Philosophy and Art November 20, 1907","Wilson, Edmund B. (Edmund Beecher)",1856,en,QH301
"Hardy Perennials and Old Fashioned Flowers
Describing the Most Desirable Plants, for Borders, Rockeries, and Shrubberies.","Wood, J. G. (John George)",1827,en,SB
"The Poetical Works of William Lisle Bowles, Vol. 1
With Memoir, Critical Dissertation, and Explanatory Notes
by George Gilfillan","Bowles, William Lisle",1762,en,PR
"Daughter of the Sun
A Tale of Adventure","Gregory, Jackson",1882,en,PS
"Goldsmith
English Men of Letters Series","Black, William",1841,en,PR
A Plea for Old Cap Collier,"Cobb, Irvin S. (Irvin Shrewsbury)",1876,en,PS
Judith of Blue Lake Ranch,"Gregory, Jackson",1882,en,PS
The Uttermost Farthing,"Lowndes, Marie Belloc",1868,en,PR
"Extracts from Adam's Diary, translated from the original ms.","Twain, Mark",1835,en,PS
"History Of The Missions Of The American Board Of Commissioners For Foreign Missions To The Oriental Churches, Volume I.","Anderson, Rufus",1796,en,BV
"Archeological Investigations
Bureau of American Ethnology, Bulletin 76","Fowke, Gerard",1855,en,E011
Man to Man,"Gregory, Jackson",1882,en,PS
"My Lady Nicotine
A Study in Smoke","Barrie, J. M. (James Matthew)",1860,en,PR
"Little Journeys to the Homes of the Great - Volume 10
Little Journeys To The Homes Of Great Teachers","Hubbard, Elbert",1856,en,CT
"My First Picture Book
With Thirty-six Pages of Pictures Printed in Colours by Kronheim","Kronheim, Joseph Martin",1810,en,PZ
"The Fight for a Free Sea: A Chronicle of the War of 1812
The Chronicles of America Series, Volume 17","Paine, Ralph Delahaye",1871,en,E300
Tom Slade at Black Lake,"Fitzhugh, Percy Keese",1876,en,PZ
Robin,"Burnett, Frances Hodgson",1849,en,PS
Damn! A Book of Calumny,"Mencken, H. L. (Henry Louis)",1880,en,PS
Day of the Moron,"Piper, H. Beam",1904,en,PS
Visit to Iceland and the Scandinavian North,"Pfeiffer, Ida",1797,en,DL
The Short Cut,"Gregory, Jackson",1882,en,PS
"Benefits Forgot
A Story of Lincoln and Mother Love","Morrow, Honoré",1880,en,PS
The Tale of Dickie Deer Mouse,"Bailey, Arthur Scott",1877,en,PZ
Tom Slade with the Boys Over There,"Fitzhugh, Percy Keese",1876,en,PZ
"Autobiography and Letters of Orville Dewey, D.D.
Edited by His Daughter","Dewey, Orville",1794,en,BX
"The Brother Clerks
A Tale of New-Orleans","Townsend, Mary Ashley",1832,en,PS
A Journal From Our Legation in Belgium,"Gibson, Hugh",1883,en,DH
The Craft of Fiction,"Lubbock, Percy",1879,en,PN
Wolf Breed,"Gregory, Jackson",1882,en,PS
The Substitute Prisoner,"Marcin, Max",1879,en,PS
"The Bastonnais
Tale of the American Invasion of Canada in 1775-76","Lespérance, John",1838,en,PS
Platform Monologues,"Tucker, T. G. (Thomas George)",1859,en,PR
Caves of Terror,"Mundy, Talbot",1879,en,PR
"Zadig; Or, The Book of Fate",Voltaire,1694,en,PQ
"The North Pole
Its Discovery in 1909 under the auspices of the Peary Arctic Club","Peary, Robert E. (Robert Edwin)",1856,en,G
"Narrative of a Journey to the Shores of the Polar Sea, in the Years 1819-20-21-22, Volume 1","Franklin, John",1786,en,G
The Starbucks,"Read, Opie Percival",1852,en,PS
"Narrative of a Journey to the Shores of the Polar Sea, in the years 1819-20-21-22, Volume 2","Franklin, John",1786,en,G
Response in the Living and Non-Living,"Bose, Jagadis Chandra",1858,en,QH
Susan Clegg and Her Neighbors' Affairs,"Warner, Anne",1869,en,PS
"The First of April
Or, The Triumphs of Folly: A Poem Dedicated to a Celebrated
Duchess. By the author of The Diaboliad.","Combe, William",1742,en,PR
How Women Love (Soul Analysis),"Nordau, Max Simon",1849,en,PT
Billy Whiskers' Adventures,"Montgomery, Frances Trego",1858,en,PZ
The Late Miss Hollingford,"Gilbert, Rosa M. (Rosa Mulholland)",1841,en,PR
"The Vicomte de Bragelonne
Or Ten Years Later being the completion of ""The Three
Musketeers"" And ""Twenty Years After""","Dumas, Alexandre",1802,en,PQ
Printcrime,"Doctorow, Cory",1971,en,PS
All Aboard: A Story for Girls,"Newberry, Fannie E. (Fannie Ellsworth)",1848,en,PZ
"Alice's Adventures Under Ground
Being a facsimile of the original Ms. book afterwards developed into ""Alice's Adventures in Wonderland""","Carroll, Lewis",1832,en,PZ PR
A Candid Examination of Theism,"Romanes, George John",1848,en,BL
The Customs of Old England,"Snell, F. J. (Frederick John)",1862,en,DA
The Rose of Dawn: A Tale of the South Sea,"Whitney, Helen Hay",1875,en,PS
"Cabbages and Cauliflowers: How to Grow Them
A Practical Treatise, Giving Full Details On Every Point,
Including Keeping And Marketing The Crop","Gregory, James John Howard",1827,en,SB
"Danger Signals
Remarkable, Exciting and Unique Examples of the Bravery, Daring and Stoicism in the Midst of Danger of Train Dispatchers and Railroad Engineers","Hill, John A. (John Alexander)",1858,en,PS
"Sir Joshua Reynolds
A Collection of Fifteen Pictures and a Portrait of the Painter with Introduction and Interpretation","Hurll, Estelle M. (Estelle May)",1863,en,ND
"The Admirable Tinker
Child of the World","Jepson, Edgar",1863,en,PR
Charlotte Brontë and Her Circle,"Shorter, Clement King",1857,en,PR
The Two-Gun Man,"Seltzer, Charles Alden",1875,en,PS
Nibsy's Christmas,"Riis, Jacob A. (Jacob August)",1849,en,PZ
"Dave Porter at Star Ranch; Or, The Cowboy's Secret","Stratemeyer, Edward",1862,en,PZ
Tales of Destiny,"Mitchell, Edmund",1861,en,PR
Lady Inger of Ostrat: Henrik Ibsen's Prose Dramas Vol III,"Ibsen, Henrik",1828,en,PT
Secrets of the Woods,"Long, William J. (William Joseph)",1867,en,QL
"The Danvers Jewels, and Sir Charles Danvers","Cholmondeley, Mary",1859,en,PR
A Daughter of the Sioux: A Tale of the Indian frontier,"King, Charles",1844,en,PS
A Sweet Little Maid,"Blanchard, Amy Ella",1856,en,PZ
The Boss of the Lazy Y,"Seltzer, Charles Alden",1875,en,PS
Irish Plays and Playwrights,"Weygandt, Cornelius",1871,en,PR
The Gifts of Asti,"Norton, Andre",1912,en,PS
The Old Peabody Pew: A Christmas Romance of a Country Church,"Wiggin, Kate Douglas Smith",1856,en,PS
"A Treatise on Adulterations of Food, and Culinary Poisons
Exhibiting the Fraudulent Sophistications of Bread, Beer, Wine, Spiritous Liquors, Tea, Coffee, Cream, Confectionery, Vinegar, Mustard, Pepper, Cheese, Olive Oil, Pickles, and Other Articles Employed in Domestic Economy","Accum, Friedrich Christian",1769,en,TX
Alice's Adventures in Wonderland,"Carroll, Lewis",1832,en,PZ PR
"Germany and the Germans
From an American Point of View","Collier, Price",1860,en,DD
Blister Jones,"Foote, John Taintor",1881,en,PS
The Terrible Twins,"Jepson, Edgar",1863,en,PR
Adrift on an Ice-Pan,"Grenfell, Wilfred Thomason, Sir",1865,en,G
The Builders: A Story and Study of Masonry,"Newton, Joseph Fort",1876,en,HS
Modern Religious Cults and Movements,"Atkins, Gaius Glenn",1868,en,BL
Stories That  Words Tell Us,"O'Neill, Elizabeth (Elizabeth Speakman)",1877,en,PE
Steve Yeager,"Raine, William MacLeod",1871,en,PS
Thoughts on Educational Topics and Institutions,"Boutwell, George S. (George Sewall)",1818,en,LB
Red-Robin,"Abbott, Jane",1881,en,PZ
The Triumph of John Kars: A Story of the Yukon,"Cullum, Ridgwell",1867,en,PR
Brigands of the Moon,"Cummings, Ray",1887,en,PS
Police Operation,"Piper, H. Beam",1904,en,PS
The Silent House,"Hume, Fergus",1859,en,PR
"Erewhon; Or, Over the Range","Butler, Samuel",1835,en,PR
Both Sides the Border: A Tale of Hotspur and Glendower,"Henty, G. A. (George Alfred)",1832,en,PZ PR
Italy at War and the Allies in the West,"Powell, E. Alexander (Edward Alexander)",1879,en,D501
Naudsonce,"Piper, H. Beam",1904,en,PS
"Salads, Sandwiches and Chafing-Dish Dainties
With Fifty Illustrations of Original Dishes","Hill, Janet McKenzie",1852,en,TX
The Adventures of Lightfoot the Deer,"Burgess, Thornton W. (Thornton Waldo)",1874,en,PZ
"Little Journeys to the Homes of the Great - Volume 12
Little Journeys to the Homes of Great Scientists","Hubbard, Elbert",1856,en,Q
The Destiny of the Soul: A Critical History of the Doctrine of a Future Life,"Alger, William Rounseville",1822,en,BT
The Border Boys Across the Frontier,"Goldfrap, John Henry",1879,en,PZ
The Prelude to Adventure,"Walpole, Hugh, Sir",1884,en,PR
The King Nobody Wanted,"Langford, Norman F.",1914,en,BT
A Pagan of the Hills,"Buck, Charles Neville",1879,en,PS
Star Hunter,"Norton, Andre",1912,en,PS
The Adventures of Paddy Beaver,"Burgess, Thornton W. (Thornton Waldo)",1874,en,PZ
"Magic
A Fantastic Comedy","Chesterton, G. K. (Gilbert Keith)",1874,en,PR
Indian Legends and Other Poems,"Horsford, Mary Gardiner",1824,en,PS
Darwin and Modern Science,"Seward, A. C. (Albert Charles)",1863,en,QH
"The Girl with the Green Eyes
A Play in Four Acts","Fitch, Clyde",1865,en,PS
Dearest,"Piper, H. Beam",1904,en,PS
An Arkansas Planter,"Read, Opie Percival",1852,en,PS
Code Three,"Raphael, Rick",1919,en,PS
The Emigrant Trail,"Bonner, Geraldine",1870,en,PS
Foe-Farrell,"Quiller-Couch, Arthur",1863,en,PR
Roman Britain in 1914,"Haverfield, F. (Francis)",1860,en,DA
"How to Sing
[Meine Gesangskunst]","Lehmann, Lilli",1848,en,MT
Sergeant York And His People,"Cowan, Sam K. (Sam Kinkade)",1869,en,F396
"Cerberus, The Dog of Hades
The History of an Idea","Bloomfield, Maurice",1855,en,BL
Concerning Christian Liberty; with Letter of Martin Luther to Pope Leo X.,"Luther, Martin",1483,en,BR
Sword and Gown: A Novel,"Lawrence, George A. (George Alfred)",1827,en,PR
Love Instigated: The Story of a Carved Ivory Umbrella Handle,"Sherley, Douglass",1857,en,PS
"The Botanical Magazine, Vol. 05
Or, Flower-Garden Displayed","Curtis, William",1746,en,QK
Raemaekers' Cartoons: With Accompanying Notes by Well-known English Writers,"Raemaekers, Louis",1869,en,D501
The She Boss: A Western Story,"Hankins, Arthur Preston",1880,en,PS
Golden Lads,"Gleason, Arthur",1878,en,D501
"Practical Rules for the Management of a Locomotive Engine
in the Station, on the Road, and in cases of Accident","Gregory, Charles Hutton",1817,en,TJ
The Empire of Love,"Dawson, W. J. (William James)",1854,en,BV
The Southerner: A Romance of the Real Lincoln,"Dixon, Thomas",1864,en,PS
Resonance in Singing and Speaking,"Fillebrown, Thomas",1836,en,MT
The Buccaneers in the West Indies in the XVII Century,"Haring, Clarence Henry",1885,en,F2155
"Girlhood and Womanhood
The Story of some Fortunes and Misfortunes","Tytler, Sarah",1827,en,PZ
Edison's Conquest of Mars,"Serviss, Garrett Putman",1851,en,PS
The Devil Doctor,"Rohmer, Sax",1883,en,PR
"Report by the Governor on a Visit to the Micmac Indians at Bay d'Espoir
Colonial Reports, Miscellaneous. No. 54. Newfoundland","MacGregor, William",1846,en,F1001
The Time Traders,"Norton, Andre",1912,en,PS
"The Entailed Hat; Or, Patty Cannon's Times","Townsend, George Alfred",1841,en,PS
The House in the Mist,"Green, Anna Katharine",1846,en,PS
The Henchman,"Luther, Mark Lee",1872,en,PS
With Lee in Virginia: A Story of the American Civil War,"Henty, G. A. (George Alfred)",1832,en,PZ PR
"Disturbed Ireland
Being the Letters Written During the Winter of 1880-81.","Becker, Bernard Henry",1833,en,DA
The Lost Valley,"Walsh, J. M. (James Morgan)",1897,en,PR
"Lectures on Art, Delivered Before the University of Oxford in Hilary Term, 1870","Ruskin, John",1819,en,N
"Eulogy on Chief-Justice Chase
Delivered by William M. Evarts before the Alumni of
Dartmouth College, at Hanover","Evarts, William Maxwell",1818,en,E300
The Quirt,"Bower, B. M.",1874,en,PS
Billy Whiskers: The Autobiography of a Goat,"Montgomery, Frances Trego",1858,en,PZ
"An Australian in China
Being the Narrative of a Quiet Journey Across China to Burma","Morrison, George Ernest",1862,en,DS
The Cow Puncher,"Stead, Robert J. C.",1880,en,PS
"Hey Diddle Diddle and Baby Bunting
R. Caldecott's Picture Books","Caldecott, Randolph",1846,en,PZ
Kelly Miller's History of the World War for Human Rights,"Miller, Kelly",1863,en,D501
Poems,"Rossetti, Christina Georgina",1830,en,PR
Long Odds,"Haggard, H. Rider (Henry Rider)",1856,en,PR
Men Called Him Master,"Smith, Elwyn A. (Elwyn Allen)",1919,en,BT
What is Darwinism?,"Hodge, Charles",1797,en,QH
Making the Most of Life,"Miller, J. R. (James Russell)",1840,en,BV
Rebel Raider,"Piper, H. Beam",1904,en,PS
Rollo in the Woods,"Abbott, Jacob",1803,en,PZ
Homeburg Memories,"Fitch, George",1877,en,PS
How Freckle Frog Made Herself Pretty,"Herr, Charlotte B. (Charlotte Bronte)",1875,en,PZ
Aliens or Americans?,"Grose, Howard B. (Howard Benjamin)",1851,en,JV
The Friendships of Women,"Alger, William Rounseville",1822,en,HQ
"Grand'ther Baldwin's Thanksgiving, with Other Ballads and Poems","Alger, Horatio, Jr.",1832,en,PS
Cicely and Other Stories,"Johnston, Annie F. (Annie Fellows)",1863,en,PZ PS
Lady Larkspur,"Nicholson, Meredith",1866,en,PS
"The Vikings of Helgeland: The Prose Dramas Of Henrik Ibsen, Vol. III.","Ibsen, Henrik",1828,en,PT
Under Drake's Flag: A Tale of the Spanish Main,"Henty, G. A. (George Alfred)",1832,en,PZ
The Firelight Fairy Book,"Beston, Henry",1888,en,PZ
Vitality Supreme,"Macfadden, Bernarr",1868,en,GV
"The Andes and the Amazon
Or, Across the Continent of South America","Orton, James",1830,en,F3701
Modern English Books of Power,"Fitch, George Hamlin",1852,en,PR
"At War with Pontiac; Or, The Totem of the Bear: A Tale of Redcoat and Redskin","Munroe, Kirk",1850,en,PZ PS
Joyce of the North Woods,"Comstock, Harriet T. (Harriet Theresa)",1860,en,PS
"Anticipations
Of the Reaction of Mechanical and Scientific Progress upon Human life and Thought","Wells, H. G. (Herbert George)",1866,en,HN
Deirdre of the Sorrows,"Synge, J. M. (John Millington)",1871,en,PR
The Story of Paul Boyton: Voyages on All the Great Rivers of the World,"Boyton, Paul",1848,en,GV
The Mummy and Miss Nitocris: A Phantasy of the Fourth Dimension,"Griffith, George Chetwynd",1857,en,PR
Under the Great Bear,"Munroe, Kirk",1850,en,PZ
The Poisoned Pen,"Reeve, Arthur B. (Arthur Benjamin)",1880,en,PS
The Young Pitcher,"Grey, Zane",1872,en,PZ PS
Dotty Dimple's Flyaway,"May, Sophie",1833,en,PZ
"Deeds that Won the Empire
Historic Battle Scenes","Fitchett, W. H. (William Henry)",1845,en,DA
Georgie,"Abbott, Jacob",1803,en,PZ
"Michael McGrath, Postmaster","Connor, Ralph",1860,en,PS
His Heart's Queen,"Sheldon, Georgie, Mrs.",1843,en,PS
Droll Stories — Volume 1,"Balzac, Honoré de",1799,en,PQ
"Bronchoscopy and Esophagoscopy
A Manual of Peroral Endoscopy and Laryngeal Surgery","Jackson, Chevalier",1865,en,RC
Diary of the Besieged Resident in Paris,"Labouchere, Henry",1831,en,DC
Red Saunders' Pets and Other Critters,"Phillips, Henry Wallace",1869,en,PS
The Early Bird: A Business Man's Love Story,"Chester, George Randolph",1869,en,PS
"Elinor Wyllys; Or, The Young Folk of Longbridge: A Tale. Volume 1","Cooper, Susan Fenimore",1813,en,PS
Bohemian Days: Three American Tales,"Townsend, George Alfred",1841,en,PS
"Elinor Wyllys; Or, The Young Folk of Longbridge: A Tale. Volume 2","Cooper, Susan Fenimore",1813,en,PS
The School for Scandal,"Sheridan, Richard Brinsley",1751,en,PR
"Extracts from a Journal of a Voyage of Visitation in the ""Hawk,"" 1859","Feild, Edward",1801,en,F1001
"Dinosaurs, with Special Reference to the American Museum Collections","Matthew, William Diller",1871,en,QE
Raftmates: A Story of the Great River,"Munroe, Kirk",1850,en,PZ
The Lion of Petra,"Mundy, Talbot",1879,en,PR
"Pioneers and Founders
or, Recent Workers in the Mission field","Yonge, Charlotte M. (Charlotte Mary)",1823,en,BV
The Reminiscences of an Astronomer,"Newcomb, Simon",1835,en,QB
Happy Pollyooly: The Rich Little Poor Girl,"Jepson, Edgar",1863,en,PR
"The Silk-Hat Soldier, and Other Poems in War Time","Le Gallienne, Richard",1866,en,PR
The Poems of Giacomo Leopardi,"Leopardi, Giacomo",1798,en,PQ
"Gallipoli Diary,  Volume 1","Hamilton, Ian",1853,en,D501
Evolution: An Investigation and a Critique,"Graebner, Theodore",1876,en,BL QH
The Antichrist,"Nietzsche, Friedrich Wilhelm",1844,en,B
The Sea-Kings of Crete,"Baikie, James",1866,en,DF
"The Sunny Side of Ireland
How to see it by the Great Southern and Western Railway","O'Mahony, John",1816,en,DA
Early Kings of Norway,"Carlyle, Thomas",1795,en,DL
An Apache Princess: A Tale of the Indian Frontier,"King, Charles",1844,en,PS
"Oscar the Detective; Or, Dudie Dunne, The Exquisite Detective",Old Sleuth,1837,en,PS
The Tangled Threads,"Porter, Eleanor H. (Eleanor Hodgman)",1868,en,PS
A Christmas Carol,"Dickens, Charles",1812,en,PR
The Keeper,"Piper, H. Beam",1904,en,PS
"The History of Samuel Titmarsh, and The Great Hoggarty Diamond","Thackeray, William Makepeace",1811,en,PR
The Story of the Big Front Door,"Leonard, Mary Finley",1862,en,PZ PS
A Maker of History,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,PR
The Making of Mary,"McIlwraith, Jean N. (Jean Newton)",1859,en,PS
Gideon's Band: A Tale of the Mississippi,"Cable, George Washington",1844,en,PS
Curlie Carson Listens In,"Snell, Roy J. (Roy Judson)",1878,en,PZ
Herbal Simples Approved for Modern Uses of Cure,"Fernie, William Thomas",1830,en,QK
